分類,頁面,特殊操作
個人,首頁,
個人,打卡,
個人,出勤紀錄,匯出
個人,補卡申請,
個人,假期申請,
個人,加班申請,
個人,個人資訊,
個人,文件庫,上傳、下載
電子表單,我的申請,撤回、匯出
電子表單,臨時保存,刪除
電子表單,模板保存,刪除
電子表單,申請,
簽核中心,請假簽核,審批
簽核中心,補卡簽核,審批
簽核中心,銷假簽核,審批
簽核中心,電子表單簽核,審批
人事管理,員工管理,新增、匯入、匯出
人事管理,考勤管理,匯出、匯入排班
人事管理,考勤設置,
人事管理,假期管理,匯出
人事管理,薪資管理,上傳薪資、匯出
人事管理,員工假期查詢,匯出
財務管理,月初匯率管理,匯出
行政管理,公告管理,發布
行政管理,文件庫管理,上傳、下載
行政管理,資產數統計,匯出
行政管理,資產清單,匯出
行政管理,資產單統計,匯出
行政管理,資產盤點,建立盤點、匯出
行政管理,資產抽查,建立抽查、匯出
行政管理,工號創建管理,匯入、匯出
系統設定,審批帳號,
系統設定,審批角色,
系統設定,審批角色權限,
系統設定,審批流管理,
系統設定,分組管理,
系統設定,帳號權限,新增帳號、編輯權限
系統設定,權限設置,新增角色、檢視成員
系統設定,組織圖設定,
系統設定,組織架構管理,
系統設定,財務設定,
系統設定,行政設定,
系統設定,薪資密碼設定,
系統設定,系統日誌,匯出
系統設定,封鎖設定,
